seq,court,courtCode,title,rocYear,adYear,caseWord,caseNum,caseType,docType,rocDate,adDate,reason,size,judgmentId
144,臺灣新北地方法院,PCD,臺灣新北地方法院 111 年度 智訴 字第 9 號刑事裁定,111,2022,智訴,9,刑事,裁定,114.04.18,2025-04-18,營業秘密法等,,"PCDM,111,智訴,9,20250418,5"
145,臺灣新北地方法院,PCD,臺灣新北地方法院 114 年度 聲 字第 1069 號刑事裁定,114,2025,聲,1069,刑事,裁定,114.03.27,2025-03-27,限制檢閱營業秘密,,"PCDM,114,聲,1069,20250327,1"
146,臺灣新北地方法院,PCD,臺灣新北地方法院 112 年度 智訴 字第 20 號刑事判決,112,2023,智訴,20,刑事,判決,114.02.27,2025-02-27,營業秘密法等,,"PCDM,112,智訴,20,20250227,2"
147,臺灣新北地方法院,PCD,臺灣新北地方法院 110 年度 智訴 字第 6 號刑事判決,110,2021,智訴,6,刑事,判決,114.02.27,2025-02-27,營業秘密法等,,"PCDM,110,智訴,6,20250227,3"
148,臺灣新北地方法院,PCD,臺灣新北地方法院 110 年度 智訴 字第 6 號刑事判決,110,2021,智訴,6,刑事,判決,114.02.27,2025-02-27,營業秘密法等,,"PCDM,110,智訴,6,20250227,4"
149,臺灣新北地方法院,PCD,臺灣新北地方法院 114 年度 自 字第 6 號刑事判決,114,2025,自,6,刑事,判決,114.02.04,2025-02-04,營業秘密法等,,"PCDM,114,自,6,20250204,1"
150,臺灣新北地方法院,PCD,臺灣新北地方法院 111 年度 智訴 字第 4 號刑事判決,111,2022,智訴,4,刑事,判決,113.12.26,2024-12-26,營業秘密法等,,"PCDM,111,智訴,4,20241226,1"
151,臺灣新北地方法院,PCD,臺灣新北地方法院 113 年度 智重附民 字第 1 號刑事判決,113,2024,智重附民,1,刑事,判決,113.07.31,2024-07-31,營業秘密法等,,"PCDM,113,智重附民,1,20240731,1"
152,臺灣新北地方法院,PCD,臺灣新北地方法院 113 年度 智訴 字第 12 號刑事判決,113,2024,智訴,12,刑事,判決,113.07.31,2024-07-31,營業秘密法等,,"PCDM,113,智訴,12,20240731,1"
153,臺灣新北地方法院,PCD,臺灣新北地方法院 112 年度 智訴 字第 20 號刑事裁定,112,2023,智訴,20,刑事,裁定,113.07.23,2024-07-23,營業秘密法等,,"PCDM,112,智訴,20,20240723,1"
154,臺灣新北地方法院,PCD,臺灣新北地方法院 110 年度 智訴 字第 6 號刑事裁定,110,2021,智訴,6,刑事,裁定,113.07.23,2024-07-23,營業秘密法等,,"PCDM,110,智訴,6,20240723,2"
155,臺灣新北地方法院,PCD,臺灣新北地方法院 111 年度 智訴 字第 12 號刑事判決,111,2022,智訴,12,刑事,判決,113.03.26,2024-03-26,營業秘密法等,,"PCDM,111,智訴,12,20240326,1"
156,臺灣新北地方法院,PCD,臺灣新北地方法院 110 年度 智訴 字第 6 號刑事裁定,110,2021,智訴,6,刑事,裁定,112.12.18,2023-12-18,營業秘密法等,,"PCDM,110,智訴,6,20231218,1"
157,臺灣新北地方法院,PCD,臺灣新北地方法院 111 年度 聲 字第 3689 號刑事裁定,111,2022,聲,3689,刑事,裁定,112.12.12,2023-12-12,限制檢閱營業秘密,,"PCDM,111,聲,3689,20231212,1"
158,臺灣新北地方法院,PCD,臺灣新北地方法院 111 年度 聲 字第 3336 號刑事裁定,111,2022,聲,3336,刑事,裁定,111.12.16,2022-12-16,限制檢閱營業秘密,,"PCDM,111,聲,3336,20221216,1"
