seq,court,courtCode,title,rocYear,adYear,caseWord,caseNum,caseType,docType,rocDate,adDate,reason,size,judgmentId
326,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 智訴 字第 14 號刑事判決,111,2022,智訴,14,刑事,判決,114.11.24,2025-11-24,違反營業秘密法等,,"TCDM,111,智訴,14,20251124,3"
327,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 智訴 字第 14 號刑事裁定,111,2022,智訴,14,刑事,裁定,114.10.03,2025-10-03,違反營業秘密法等,,"TCDM,111,智訴,14,20251003,2"
328,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 智訴 字第 11 號刑事判決,111,2022,智訴,11,刑事,判決,113.11.27,2024-11-27,違反營業秘密法等,,"TCDM,111,智訴,11,20241127,1"
329,臺灣臺中地方法院,TCD,臺灣臺中地方法院 112 年度 智訴 字第 13 號刑事判決,112,2023,智訴,13,刑事,判決,113.05.29,2024-05-29,違反營業秘密法等,,"TCDM,112,智訴,13,20240529,2"
330,臺灣臺中地方法院,TCD,臺灣臺中地方法院 113 年度 智訴 字第 4 號刑事判決,113,2024,智訴,4,刑事,判決,113.04.23,2024-04-23,違反營業秘密法等,,"TCDM,113,智訴,4,20240423,1"
331,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 智訴 字第 12 號刑事判決,111,2022,智訴,12,刑事,判決,113.01.30,2024-01-30,違反營業秘密法等,,"TCDM,111,智訴,12,20240130,1"
332,臺灣臺中地方法院,TCD,臺灣臺中地方法院 112 年度 智訴 字第 13 號刑事裁定,112,2023,智訴,13,刑事,裁定,112.11.27,2023-11-27,違反營業秘密法等,,"TCDM,112,智訴,13,20231127,1"
333,臺灣臺中地方法院,TCD,臺灣臺中地方法院 112 年度 智訴 字第 1 號刑事判決,112,2023,智訴,1,刑事,判決,112.08.11,2023-08-11,違反營業秘密法等,,"TCDM,112,智訴,1,20230811,1"
334,臺灣臺中地方法院,TCD,臺灣臺中地方法院 112 年度 智訴 字第 3 號刑事判決,112,2023,智訴,3,刑事,判決,112.08.08,2023-08-08,違反營業秘密法等,,"TCDM,112,智訴,3,20230808,1"
335,臺灣臺中地方法院,TCD,臺灣臺中地方法院 110 年度 智訴 字第 17 號刑事判決,110,2021,智訴,17,刑事,判決,112.07.04,2023-07-04,違反營業秘密法等,,"TCDM,110,智訴,17,20230704,2"
336,臺灣臺中地方法院,TCD,臺灣臺中地方法院 109 年度 智訴 字第 10 號刑事判決,109,2020,智訴,10,刑事,判決,112.06.30,2023-06-30,營業秘密法等,,"TCDM,109,智訴,10,20230630,4"
337,臺灣臺中地方法院,TCD,臺灣臺中地方法院 110 年度 智訴 字第 10 號刑事判決,110,2021,智訴,10,刑事,判決,112.03.29,2023-03-29,違反營業秘密,,"TCDM,110,智訴,10,20230329,1"
338,臺灣臺中地方法院,TCD,臺灣臺中地方法院 110 年度 智訴 字第 17 號刑事裁定,110,2021,智訴,17,刑事,裁定,111.08.29,2022-08-29,違反營業秘密法等,,"TCDM,110,智訴,17,20220829,1"
339,臺灣臺中地方法院,TCD,臺灣臺中地方法院 109 年度 智訴 字第 10 號刑事裁定,109,2020,智訴,10,刑事,裁定,111.08.29,2022-08-29,營業秘密法等,,"TCDM,109,智訴,10,20220829,3"
340,臺灣臺中地方法院,TCD,臺灣臺中地方法院 110 年度 智訴 字第 2 號刑事判決,110,2021,智訴,2,刑事,判決,111.07.13,2022-07-13,違反營業秘密法等,,"TCDM,110,智訴,2,20220713,1"
341,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 智 字第 5 號民事裁定,111,2022,智,5,民事,裁定,111.06.20,2022-06-20,損害賠償（違反營業秘密法）,,"TCDV,111,智,5,20220620,2"
342,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 智 字第 5 號民事判決,111,2022,智,5,民事,判決,111.06.08,2022-06-08,損害賠償（違反營業秘密法）,,"TCDV,111,智,5,20220608,1"
343,臺灣臺中地方法院,TCD,臺灣臺中地方法院 110 年度 智訴 字第 15 號刑事判決,110,2021,智訴,15,刑事,判決,111.03.17,2022-03-17,違反營業秘密法等,,"TCDM,110,智訴,15,20220317,1"
344,臺灣臺中地方法院,TCD,臺灣臺中地方法院 111 年度 補 字第 35 號民事判決,111,2022,補,35,民事,判決,111.01.14,2022-01-14,損害賠償（違反營業秘密法）,,"TCDV,111,補,35,20220114,1"
345,臺灣臺中地方法院,TCD,臺灣臺中地方法院 109 年度 智訴 字第 10 號刑事裁定,109,2020,智訴,10,刑事,裁定,110.08.04,2021-08-04,營業秘密法等,,"TCDM,109,智訴,10,20210804,2"
346,臺灣臺中地方法院,TCD,臺灣臺中地方法院 109 年度 智訴 字第 13 號刑事判決,109,2020,智訴,13,刑事,判決,110.06.29,2021-06-29,違反營業秘密法等,,"TCDM,109,智訴,13,20210629,1"
347,臺灣臺中地方法院,TCD,臺灣臺中地方法院 109 年度 智訴 字第 10 號刑事裁定,109,2020,智訴,10,刑事,裁定,110.02.09,2021-02-09,營業秘密法等,,"TCDM,109,智訴,10,20210209,1"
348,臺灣臺中地方法院,TCD,臺灣臺中地方法院 109 年度 智訴 字第 6 號刑事判決,109,2020,智訴,6,刑事,判決,109.08.31,2020-08-31,營業秘密法等,,"TCDM,109,智訴,6,20200831,1"
349,臺灣臺中地方法院,TCD,臺灣臺中地方法院 108 年度 智訴 字第 9 號刑事判決,108,2019,智訴,9,刑事,判決,109.08.19,2020-08-19,違反營業秘密法,,"TCDM,108,智訴,9,20200819,1"
350,臺灣臺中地方法院,TCD,臺灣臺中地方法院 106 年度 智訴 字第 11 號刑事判決,106,2017,智訴,11,刑事,判決,109.06.12,2020-06-12,違反營業秘密法,,"TCDM,106,智訴,11,20200612,5"
351,臺灣臺中地方法院,TCD,臺灣臺中地方法院 106 年度 智訴 字第 11 號刑事裁定,106,2017,智訴,11,刑事,裁定,109.04.09,2020-04-09,違反營業秘密法,,"TCDM,106,智訴,11,20200409,4"
352,臺灣臺中地方法院,TCD,臺灣臺中地方法院 106 年度 智訴 字第 11 號刑事裁定,106,2017,智訴,11,刑事,裁定,109.01.20,2020-01-20,違反營業秘密法,,"TCDM,106,智訴,11,20200120,3"
353,臺灣臺中地方法院,TCD,臺灣臺中地方法院 108 年度 智訴 字第 2 號刑事判決,108,2019,智訴,2,刑事,判決,109.01.17,2020-01-17,違反營業秘密法等,,"TCDM,108,智訴,2,20200117,1"
354,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 16 號刑事判決,107,2018,智訴,16,刑事,判決,108.11.27,2019-11-27,違反營業秘密法,,"TCDM,107,智訴,16,20191127,1"
355,臺灣臺中地方法院,TCD,臺灣臺中地方法院 105 年度 智訴 字第 5 號刑事判決,105,2016,智訴,5,刑事,判決,108.10.18,2019-10-18,違反營業秘密法等,,"TCDM,105,智訴,5,20191018,2"
356,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 19 號刑事判決,107,2018,智訴,19,刑事,判決,108.06.25,2019-06-25,違反營業秘密法等,,"TCDM,107,智訴,19,20190625,1"
357,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 1 號刑事判決,107,2018,智訴,1,刑事,判決,108.06.11,2019-06-11,營業秘密法等,,"TCDM,107,智訴,1,20190611,2"
358,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 1 號刑事判決,107,2018,智訴,1,刑事,判決,108.06.11,2019-06-11,營業秘密法等,,"TCDM,107,智訴,1,20190611,1"
359,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 21 號刑事判決,107,2018,智訴,21,刑事,判決,108.02.26,2019-02-26,違反營業秘密法等,,"TCDM,107,智訴,21,20190226,1"
360,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 21 號刑事判決,107,2018,智訴,21,刑事,判決,108.02.26,2019-02-26,違反營業秘密法等,,"TCDM,107,智訴,21,20190226,2"
361,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智簡 字第 41 號刑事判決,107,2018,智簡,41,刑事,判決,107.11.26,2018-11-26,違反營業秘密法,,"TCDM,107,智簡,41,20181126,1"
362,臺灣臺中地方法院,TCD,臺灣臺中地方法院 106 年度 智訴 字第 11 號刑事裁定,106,2017,智訴,11,刑事,裁定,107.07.04,2018-07-04,違反營業秘密法,,"TCDM,106,智訴,11,20180704,2"
363,臺灣臺中地方法院,TCD,臺灣臺中地方法院 104 年度 智訴 字第 13 號刑事判決,104,2015,智訴,13,刑事,判決,107.05.30,2018-05-30,營業秘密等,,"TCDM,104,智訴,13,20180530,2"
364,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 8 號刑事判決,107,2018,智訴,8,刑事,判決,107.05.22,2018-05-22,營業秘密法,,"TCDM,107,智訴,8,20180522,1"
365,臺灣臺中地方法院,TCD,臺灣臺中地方法院 107 年度 智訴 字第 4 號刑事判決,107,2018,智訴,4,刑事,判決,107.05.08,2018-05-08,違反營業秘密法等,,"TCDM,107,智訴,4,20180508,1"
366,臺灣臺中地方法院,TCD,臺灣臺中地方法院 106 年度 訴 字第 1766 號刑事判決,106,2017,訴,1766,刑事,判決,107.01.24,2018-01-24,營業秘密法,,"TCDM,106,訴,1766,20180124,1"
367,臺灣臺中地方法院,TCD,臺灣臺中地方法院 104 年度 智訴 字第 13 號刑事裁定,104,2015,智訴,13,刑事,裁定,106.11.20,2017-11-20,營業秘密等,,"TCDM,104,智訴,13,20171120,1"
368,臺灣臺中地方法院,TCD,臺灣臺中地方法院 106 年度 智訴 字第 11 號刑事裁定,106,2017,智訴,11,刑事,裁定,106.09.22,2017-09-22,違反營業秘密法,,"TCDM,106,智訴,11,20170922,1"
369,臺灣臺中地方法院,TCD,臺灣臺中地方法院 105 年度 智訴 字第 19 號刑事判決,105,2016,智訴,19,刑事,判決,106.08.29,2017-08-29,違反營業秘密法等,,"TCDM,105,智訴,19,20170829,1"
370,臺灣臺中地方法院,TCD,臺灣臺中地方法院 105 年度 智訴 字第 7 號刑事判決,105,2016,智訴,7,刑事,判決,106.04.28,2017-04-28,違反營業秘密法等,,"TCDM,105,智訴,7,20170428,1"
371,臺灣臺中地方法院,TCD,臺灣臺中地方法院 105 年度 智訴 字第 18 號刑事判決,105,2016,智訴,18,刑事,判決,106.01.26,2017-01-26,違反營業秘密法等,,"TCDM,105,智訴,18,20170126,1"
372,臺灣臺中地方法院,TCD,臺灣臺中地方法院 104 年度 智 字第 5 號民事判決,104,2015,智,5,民事,判決,105.11.25,2016-11-25,侵害營業秘密、著作權等,,"TCDV,104,智,5,20161125,4"
373,臺灣臺中地方法院,TCD,臺灣臺中地方法院 104 年度 智 字第 5 號民事裁定,104,2015,智,5,民事,裁定,105.05.23,2016-05-23,侵害營業秘密、著作權等,,"TCDV,104,智,5,20160523,3"
374,臺灣臺中地方法院,TCD,臺灣臺中地方法院 105 年度 智訴 字第 5 號刑事裁定,105,2016,智訴,5,刑事,裁定,105.03.24,2016-03-24,違反營業秘密法等,,"TCDM,105,智訴,5,20160324,1"
375,臺灣臺中地方法院,TCD,臺灣臺中地方法院 104 年度 補 字第 735 號民事裁定,104,2015,補,735,民事,裁定,104.04.30,2015-04-30,侵害營業秘密、著作權等,,"TCDV,104,補,735,20150430,1"
376,臺灣彰化地方法院,CHD,臺灣彰化地方法院 109 年度 智訴 字第 1 號刑事判決,109,2020,智訴,1,刑事,判決,109.11.27,2020-11-27,違反營業秘密法,,"CHDM,109,智訴,1,20201127,1"
377,臺灣彰化地方法院,CHD,臺灣彰化地方法院 107 年度 智訴 字第 3 號刑事判決,107,2018,智訴,3,刑事,判決,109.07.03,2020-07-03,違反營業秘密法,,"CHDM,107,智訴,3,20200703,2"
378,臺灣彰化地方法院,CHD,臺灣彰化地方法院 107 年度 智訴 字第 3 號刑事裁定,107,2018,智訴,3,刑事,裁定,109.06.29,2020-06-29,違反營業秘密法,,"CHDM,107,智訴,3,20200629,1"
379,臺灣彰化地方法院,CHD,臺灣彰化地方法院 107 年度 智訴 字第 4 號刑事判決,107,2018,智訴,4,刑事,判決,108.02.11,2019-02-11,違反營業秘密法等,,"CHDM,107,智訴,4,20190211,1"
380,臺灣彰化地方法院,CHD,臺灣彰化地方法院 106 年度 自 字第 1 號刑事判決,106,2017,自,1,刑事,判決,107.11.30,2018-11-30,違反營業秘密法,,"CHDM,106,自,1,20181130,1"
381,臺灣彰化地方法院,CHD,臺灣彰化地方法院 106 年度 訴 字第 379 號刑事判決,106,2017,訴,379,刑事,判決,106.04.11,2017-04-11,違反營業秘密法,,"CHDM,106,訴,379,20170411,1"
382,臺灣彰化地方法院,CHD,臺灣彰化地方法院 105 年度 訴 字第 1109 號刑事判決,105,2016,訴,1109,刑事,判決,106.01.24,2017-01-24,違反營業秘密法等,,"CHDM,105,訴,1109,20170124,2"
383,臺灣彰化地方法院,CHD,臺灣彰化地方法院 105 年度 訴 字第 1109 號刑事裁定,105,2016,訴,1109,刑事,裁定,106.01.16,2017-01-16,違反營業秘密法等,,"CHDM,105,訴,1109,20170116,1"
384,臺灣彰化地方法院,CHD,臺灣彰化地方法院 103 年度 智訴 字第 4 號刑事判決,103,2014,智訴,4,刑事,判決,104.07.30,2015-07-30,違反營業秘密法等,,"CHDM,103,智訴,4,20150730,1"
385,臺灣彰化地方法院,CHD,臺灣彰化地方法院 103 年度 智訴 字第 5 號刑事判決,103,2014,智訴,5,刑事,判決,104.07.13,2015-07-13,違反營業秘密法等,,"CHDM,103,智訴,5,20150713,1"
386,臺灣南投地方法院,NTD,臺灣南投地方法院 106 年度 審訴 字第 348 號刑事判決,106,2017,審訴,348,刑事,判決,106.10.13,2017-10-13,違反營業秘密法,,"NTDM,106,審訴,348,20171013,1"
387,臺灣南投地方法院,NTD,臺灣南投地方法院 105 年度 審訴 字第 382 號刑事判決,105,2016,審訴,382,刑事,判決,105.11.21,2016-11-21,違反營業秘密法,,"NTDM,105,審訴,382,20161121,1"
388,臺灣雲林地方法院,ULD,臺灣雲林地方法院 111 年度 智訴 字第 1 號刑事裁定,111,2022,智訴,1,刑事,裁定,111.08.31,2022-08-31,違反營業秘密法,,"ULDM,111,智訴,1,20220831,1"
389,臺灣雲林地方法院,ULD,臺灣雲林地方法院 105 年度 智訴 字第 3 號刑事判決,105,2016,智訴,3,刑事,判決,108.08.30,2019-08-30,違反營業秘密法,,"ULDM,105,智訴,3,20190830,3"
390,臺灣雲林地方法院,ULD,臺灣雲林地方法院 106 年度 智訴 字第 2 號刑事判決,106,2017,智訴,2,刑事,判決,106.11.10,2017-11-10,違反營業秘密法等,,"ULDM,106,智訴,2,20171110,1"
391,臺灣雲林地方法院,ULD,臺灣雲林地方法院 105 年度 智訴 字第 3 號刑事裁定,105,2016,智訴,3,刑事,裁定,106.06.29,2017-06-29,違反營業秘密法,,"ULDM,105,智訴,3,20170629,2"
392,臺灣雲林地方法院,ULD,臺灣雲林地方法院 105 年度 智訴 字第 3 號刑事判決,105,2016,智訴,3,刑事,判決,106.02.02,2017-02-02,違反營業秘密法,,"ULDM,105,智訴,3,20170202,1"
393,臺灣嘉義地方法院,CYD,臺灣嘉義地方法院 114 年度 智重訴 字第 1 號刑事判決,114,2025,智重訴,1,刑事,判決,114.08.25,2025-08-25,違反營業秘密法,,"CYDM,114,智重訴,1,20250825,1"
394,臺灣嘉義地方法院,CYD,臺灣嘉義地方法院 110 年度 智簡 字第 15 號刑事判決,110,2021,智簡,15,刑事,判決,110.04.21,2021-04-21,違反營業秘密法等,,"CYDM,110,智簡,15,20210421,1"
395,臺灣臺南地方法院,TND,臺灣臺南地方法院 110 年度 智訴 字第 5 號刑事判決,110,2021,智訴,5,刑事,判決,112.08.29,2023-08-29,違反營業秘密法等,,"TNDM,110,智訴,5,20230829,1"
396,臺灣臺南地方法院,TND,臺灣臺南地方法院 107 年度 智訴 字第 3 號刑事判決,107,2018,智訴,3,刑事,判決,110.12.30,2021-12-30,違反營業秘密法等,,"TNDM,107,智訴,3,20211230,3"
397,臺灣臺南地方法院,TND,臺灣臺南地方法院 107 年度 重訴 字第 4 號刑事判決,107,2018,重訴,4,刑事,判決,110.09.27,2021-09-27,營業秘密法等,,"TNDM,107,重訴,4,20210927,4"
398,臺灣臺南地方法院,TND,臺灣臺南地方法院 110 年度 勞聲 字第 1 號民事裁定,110,2021,勞聲,1,民事,裁定,110.05.07,2021-05-07,聲請核發營業秘密裁定,,"TNDV,110,勞聲,1,20210507,1"
399,臺灣臺南地方法院,TND,臺灣臺南地方法院 107 年度 重訴 字第 4 號刑事裁定,107,2018,重訴,4,刑事,裁定,109.08.26,2020-08-26,營業秘密法等,,"TNDM,107,重訴,4,20200826,3"
400,臺灣臺南地方法院,TND,臺灣臺南地方法院 107 年度 智訴 字第 3 號刑事裁定,107,2018,智訴,3,刑事,裁定,109.04.21,2020-04-21,違反營業秘密法等,,"TNDM,107,智訴,3,20200421,1"
401,臺灣臺南地方法院,TND,臺灣臺南地方法院 107 年度 重訴 字第 4 號刑事裁定,107,2018,重訴,4,刑事,裁定,108.12.27,2019-12-27,營業秘密法等,,"TNDM,107,重訴,4,20191227,2"
402,臺灣臺南地方法院,TND,臺灣臺南地方法院 107 年度 重訴 字第 4 號刑事裁定,107,2018,重訴,4,刑事,裁定,107.12.20,2018-12-20,營業秘密法等,,"TNDM,107,重訴,4,20181220,1"
403,臺灣臺南地方法院,TND,臺灣臺南地方法院 106 年度 智訴 字第 7 號刑事判決,106,2017,智訴,7,刑事,判決,107.05.10,2018-05-10,違反營業秘密法,,"TNDM,106,智訴,7,20180510,1"
404,臺灣臺南地方法院,TND,臺灣臺南地方法院 105 年度 訴 字第 603 號民事判決,105,2016,訴,603,民事,判決,106.09.08,2017-09-08,侵害營業秘密損害賠償,,"TNDV,105,訴,603,20170908,1"
405,臺灣臺南地方法院,TND,臺灣臺南地方法院 106 年度 智簡 字第 25 號刑事判決,106,2017,智簡,25,刑事,判決,106.05.05,2017-05-05,違反營業秘密法等,,"TNDM,106,智簡,25,20170505,1"
406,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智訴更一 字第 1 號刑事判決,110,2021,智訴更一,1,刑事,判決,114.05.28,2025-05-28,違反營業秘密,,"KSDM,110,智訴更一,1,20250528,5"
407,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智訴更一 字第 1 號刑事判決,110,2021,智訴更一,1,刑事,判決,114.05.28,2025-05-28,違反營業秘密,,"KSDM,110,智訴更一,1,20250528,4"
408,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智訴更一 字第 1 號刑事裁定,110,2021,智訴更一,1,刑事,裁定,114.05.19,2025-05-19,違反營業秘密,,"KSDM,110,智訴更一,1,20250519,3"
409,臺灣高雄地方法院,KSD,臺灣高雄地方法院 113 年度 智訴 字第 1 號刑事判決,113,2024,智訴,1,刑事,判決,114.03.20,2025-03-20,違反營業秘密等,,"KSDM,113,智訴,1,20250320,1"
410,臺灣高雄地方法院,KSD,臺灣高雄地方法院 111 年度 智重訴 字第 1 號刑事裁定,111,2022,智重訴,1,刑事,裁定,113.01.12,2024-01-12,違反營業秘密,,"KSDM,111,智重訴,1,20240112,3"
411,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智訴更一 字第 1 號刑事裁定,110,2021,智訴更一,1,刑事,裁定,113.01.11,2024-01-11,違反營業秘密,,"KSDM,110,智訴更一,1,20240111,2"
412,臺灣高雄地方法院,KSD,臺灣高雄地方法院 111 年度 智重訴 字第 1 號刑事判決,111,2022,智重訴,1,刑事,判決,112.12.18,2023-12-18,違反營業秘密,,"KSDM,111,智重訴,1,20231218,2"
413,臺灣高雄地方法院,KSD,臺灣高雄地方法院 111 年度 智重訴 字第 1 號刑事裁定,111,2022,智重訴,1,刑事,裁定,112.10.03,2023-10-03,違反營業秘密,,"KSDM,111,智重訴,1,20231003,1"
414,臺灣高雄地方法院,KSD,臺灣高雄地方法院 112 年度 智重訴 字第 1 號刑事裁定,112,2023,智重訴,1,刑事,裁定,112.08.02,2023-08-02,違反營業秘密等,,"KSDM,112,智重訴,1,20230802,1"
415,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智重訴 字第 2 號刑事裁定,110,2021,智重訴,2,刑事,裁定,112.08.02,2023-08-02,違反營業秘密等,,"KSDM,110,智重訴,2,20230802,2"
416,臺灣高雄地方法院,KSD,臺灣高雄地方法院 111 年度 重自 字第 1 號刑事判決,111,2022,重自,1,刑事,判決,112.03.24,2023-03-24,違反營業秘密,,"KSDM,111,重自,1,20230324,1"
417,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智重訴 字第 2 號刑事裁定,110,2021,智重訴,2,刑事,裁定,111.05.16,2022-05-16,違反營業秘密等,,"KSDM,110,智重訴,2,20220516,1"
418,臺灣高雄地方法院,KSD,臺灣高雄地方法院 108 年度 智訴 字第 2 號刑事裁定,108,2019,智訴,2,刑事,裁定,111.03.17,2022-03-17,違反營業秘密等,,"KSDM,108,智訴,2,20220317,5"
419,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智重訴 字第 1 號刑事判決,110,2021,智重訴,1,刑事,判決,111.02.14,2022-02-14,違反營業秘密等,,"KSDM,110,智重訴,1,20220214,1"
420,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智訴更一 字第 1 號刑事裁定,110,2021,智訴更一,1,刑事,裁定,110.10.19,2021-10-19,違反營業秘密,,"KSDM,110,智訴更一,1,20211019,1"
421,臺灣高雄地方法院,KSD,臺灣高雄地方法院 110 年度 智訴 字第 1 號刑事判決,110,2021,智訴,1,刑事,判決,110.08.20,2021-08-20,違反營業秘密等,,"KSDM,110,智訴,1,20210820,1"
422,臺灣高雄地方法院,KSD,臺灣高雄地方法院 108 年度 智訴 字第 2 號刑事裁定,108,2019,智訴,2,刑事,裁定,110.04.08,2021-04-08,違反營業秘密等,,"KSDM,108,智訴,2,20210408,4"
423,臺灣高雄地方法院,KSD,臺灣高雄地方法院 107 年度 智訴 字第 1 號刑事判決,107,2018,智訴,1,刑事,判決,110.01.14,2021-01-14,違反營業秘密等,,"KSDM,107,智訴,1,20210114,3"
424,臺灣高雄地方法院,KSD,臺灣高雄地方法院 107 年度 智訴 字第 1 號刑事裁定,107,2018,智訴,1,刑事,裁定,110.01.05,2021-01-05,違反營業秘密等,,"KSDM,107,智訴,1,20210105,2"
425,臺灣高雄地方法院,KSD,臺灣高雄地方法院 108 年度 智訴 字第 2 號刑事裁定,108,2019,智訴,2,刑事,裁定,109.07.15,2020-07-15,違反營業秘密等,,"KSDM,108,智訴,2,20200715,3"
426,臺灣高雄地方法院,KSD,臺灣高雄地方法院 108 年度 智訴 字第 2 號刑事裁定,108,2019,智訴,2,刑事,裁定,109.05.19,2020-05-19,違反營業秘密等,,"KSDM,108,智訴,2,20200519,1"
427,臺灣高雄地方法院,KSD,臺灣高雄地方法院 108 年度 智訴 字第 2 號刑事裁定,108,2019,智訴,2,刑事,裁定,109.05.19,2020-05-19,違反營業秘密等,,"KSDM,108,智訴,2,20200519,2"
428,臺灣高雄地方法院,KSD,臺灣高雄地方法院 105 年度 智訴 字第 6 號刑事判決,105,2016,智訴,6,刑事,判決,109.02.12,2020-02-12,違反營業秘密等,,"KSDM,105,智訴,6,20200212,1"
429,臺灣高雄地方法院,KSD,臺灣高雄地方法院 107 年度 智訴 字第 1 號刑事裁定,107,2018,智訴,1,刑事,裁定,108.04.17,2019-04-17,違反營業秘密等,,"KSDM,107,智訴,1,20190417,1"
430,臺灣高雄地方法院,KSD,臺灣高雄地方法院 107 年度 智訴 字第 11 號刑事判決,107,2018,智訴,11,刑事,判決,107.11.27,2018-11-27,違反營業秘密,,"KSDM,107,智訴,11,20181127,1"
431,臺灣高雄地方法院,KSD,臺灣高雄地方法院 105 年度 智訴 字第 9 號刑事裁定,105,2016,智訴,9,刑事,裁定,106.08.08,2017-08-08,違反營業秘密等,,"KSDM,105,智訴,9,20170808,3"
432,臺灣高雄地方法院,KSD,臺灣高雄地方法院 105 年度 智訴 字第 9 號刑事判決,105,2016,智訴,9,刑事,判決,106.07.27,2017-07-27,違反營業秘密等,,"KSDM,105,智訴,9,20170727,2"
433,臺灣高雄地方法院,KSD,臺灣高雄地方法院 105 年度 智訴 字第 9 號刑事裁定,105,2016,智訴,9,刑事,裁定,106.03.27,2017-03-27,違反營業秘密等,,"KSDM,105,智訴,9,20170327,1"
434,臺灣高雄地方法院,KSD,臺灣高雄地方法院 104 年度 智訴 字第 14 號刑事判決,104,2015,智訴,14,刑事,判決,105.07.19,2016-07-19,違反營業秘密等,,"KSDM,104,智訴,14,20160719,6"
435,臺灣高雄地方法院,KSD,臺灣高雄地方法院 104 年度 智訴 字第 14 號刑事裁定,104,2015,智訴,14,刑事,裁定,105.06.30,2016-06-30,違反營業秘密等,,"KSDM,104,智訴,14,20160630,5"
436,臺灣高雄地方法院,KSD,臺灣高雄地方法院 104 年度 智訴 字第 14 號刑事裁定,104,2015,智訴,14,刑事,裁定,105.04.07,2016-04-07,違反營業秘密等,,"KSDM,104,智訴,14,20160407,4"
437,臺灣高雄地方法院,KSD,臺灣高雄地方法院 104 年度 智訴 字第 14 號刑事裁定,104,2015,智訴,14,刑事,裁定,105.03.17,2016-03-17,違反營業秘密等,,"KSDM,104,智訴,14,20160317,3"
438,臺灣高雄地方法院,KSD,臺灣高雄地方法院 104 年度 智訴 字第 14 號刑事裁定,104,2015,智訴,14,刑事,裁定,105.02.02,2016-02-02,違反營業秘密等,,"KSDM,104,智訴,14,20160202,2"
439,臺灣高雄地方法院,KSD,臺灣高雄地方法院 104 年度 智訴 字第 14 號刑事裁定,104,2015,智訴,14,刑事,裁定,104.11.13,2015-11-13,違反營業秘密等,,"KSDM,104,智訴,14,20151113,1"
440,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 110 年度 智訴 字第 3 號刑事裁定,110,2021,智訴,3,刑事,裁定,115.02.25,2026-02-25,違反營業秘密等,,"CTDM,110,智訴,3,20260225,1"
441,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 111 年度 智重訴 字第 1 號刑事判決,111,2022,智重訴,1,刑事,判決,112.07.10,2023-07-10,違反營業秘密等,,"CTDM,111,智重訴,1,20230710,1"
442,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 111 年度 智重訴 字第 2 號刑事裁定,111,2022,智重訴,2,刑事,裁定,112.02.01,2023-02-01,違反營業秘密等,,"CTDM,111,智重訴,2,20230201,2"
443,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 111 年度 智重訴 字第 2 號刑事裁定,111,2022,智重訴,2,刑事,裁定,112.02.01,2023-02-01,違反營業秘密等,,"CTDM,111,智重訴,2,20230201,1"
444,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 109 年度 智訴 字第 2 號刑事判決,109,2020,智訴,2,刑事,判決,111.10.28,2022-10-28,違反營業秘密等,,"CTDM,109,智訴,2,20221028,4"
445,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 109 年度 智訴 字第 2 號刑事裁定,109,2020,智訴,2,刑事,裁定,110.08.23,2021-08-23,違反營業秘密等,,"CTDM,109,智訴,2,20210823,3"
446,臺灣橋頭地方法院,CTD,臺灣橋頭地方法院 109 年度 智訴 字第 3 號刑事裁定,109,2020,智訴,3,刑事,裁定,110.08.16,2021-08-16,違反營業秘密等,,"CTDM,109,智訴,3,20210816,1"
